method,stepUsed,stepPrice,tx_fee,tx_hash,remarks
set_cpf_treasury_score,146680,12500000000,1833500000000000,0x7c86d22ca1fb7e4c4a9933bcbc24ed46a7c97055c1b4eb87bcfa04b1857644d4,cps_score
set_bnUSD_score,150320,12500000000,1879000000000000,0x3a8c802487c8d84bc944a01e17788cdca56bc10668a57e441ec4310733ab64ea,cps_score
set_cps_score,144880,12500000000,1811000000000000,0x90ec3ed9ec2676c7eb39c8a5bd7ee40b0400aa7c132e702cc6d332152270e675,cps_treasury
set_cpf_treasury_score,146680,12500000000,1833500000000000,0xff05629570fcb06b2b0728266443c6725bdc7e138a8756b59d243604bef2d964,cps_treasury
set_cps_score,144880,12500000000,1811000000000000,0xc0663e20b3462925d0374e8513e66d62d8a67b7e395123fe4dba99b2919741d1,cpf_treasury
set_cps_treasury_score,146680,12500000000,1833500000000000,0x9c25aca75f2dd55df2a3c320d9970ba1e880da1f36a73a13e600ba75afac9cd5,cpf_treasury
set_bnUSD_score,150320,12500000000,1879000000000000,0xcc4fa92907de25882a7cf4c6eb81d1d921a6e45444b98832a71b2b3d985eed25,cpf_treasury
set_staking_score,150720,12500000000,1884000000000000,0x5701e89ee10ebee3115a66c3f67ea24628380a6333437582a12be759c0be6026,cpf_treasury
set_sicx_score,150120,12500000000,1876500000000000,0x88c454f6102d5174bec7c8d1cf23e8f939fe52f248e6aa2470cee45ec75f0d83,cpf_treasury
set_dex_score,149920,12500000000,1874000000000000,0x71d9e71ef9a943386c84730b1599431dcb8205c66d7b0ff6d1e2fb8abeb799ba,cpf_treasury
update_project_flag,279200,12500000000,3490000000000000,0x4e0186d51e988d24150a3aa2906950b28e47598476126e2254152baae0047c86,migrating ICX scores in the new bnUSD score CPS_score
